baker,series,episode,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
Peter,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,3,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,3,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,6,NA,NA,NA,NA,NA,NA,NA,NA
James,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,6,NA,NA,NA,NA,NA,NA,NA,NA
